pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:27:26,873: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:27:27,022: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:27:27,157: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=448

[CRITICAL]2021-03-29 16:27:38,423: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:27:38,572: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:27:38,766: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:27:38,902: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:27:39,020: apply agv failed, count=4 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:27:39,081: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '60618e662b8c5349daa8cdae', 'loc', '17')
pid=8088, ppid=7060, tid=12616

[CRITICAL]2021-03-29 16:27:50,107: apply agv failed, count=0 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=1280

[CRITICAL]2021-03-29 16:27:50,241: apply agv failed, count=1 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=1280

[CRITICAL]2021-03-29 16:27:50,422: apply agv failed, count=2 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=1280

[CRITICAL]2021-03-29 16:27:50,556: apply agv failed, count=3 cause a error: comba-ZXC-F3.17找不到可用的小车
pid=8088, ppid=7060, tid=1280

