[CRITICAL]2021-03-31 10:23:36,323: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=12748

[CRITICAL]2021-03-31 10:26:21,288: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=3412

[CRITICAL]2021-03-31 10:26:21,456: apply agv failed, count=1 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=3412

[CRITICAL]2021-03-31 10:26:21,566: apply agv failed, count=2 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=3412

[CRITICAL]2021-03-31 10:26:21,680: apply agv failed, count=3 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=3412

[CRITICAL]2021-03-31 10:26:21,805: apply agv failed, count=4 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=3412

[CRITICAL]2021-03-31 10:26:21,868: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '6063dd25913482d6ce06191d', 'loc', 'AP142')
pid=4780, ppid=11064, tid=3412

[CRITICAL]2021-03-31 10:26:32,450: apply agv failed, count=0 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=8880

[CRITICAL]2021-03-31 10:26:32,521: apply agv failed, count=1 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=8880

[CRITICAL]2021-03-31 10:26:32,611: apply agv failed, count=2 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=8880

[CRITICAL]2021-03-31 10:26:32,681: apply agv failed, count=3 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=8880

[CRITICAL]2021-03-31 10:26:32,768: apply agv failed, count=4 cause a error: comba-ZXC-F1-F3.AP142找不到可用的小车
pid=4780, ppid=11064, tid=8880

[CRITICAL]2021-03-31 10:26:32,804: apply failed, count=1 cause a error: ('apply agv failed3!', 'taskId', '6063dd25913482d6ce06191d', 'loc', 'AP142')
pid=4780, ppid=11064, tid=8880

